127.0.0.1 - - [26/May/2021:01:30:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:45 +0900] "GET /MentoringProject/ HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/home.do HTTP/1.1" 200 17688
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/css/reset.css HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/css/animate.css HTTP/1.1" 200 99452
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/css/slick.css HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/css/common.css HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/css/styles.css HTTP/1.1" 200 7282
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/js/jquery-3.5.1.min.js HTTP/1.1" 200 89493
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/js/slick.min.js HTTP/1.1" 200 42879
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/js/index.js HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/img/banner01.jpg HTTP/1.1" 200 58530
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/img/banner03.jpg HTTP/1.1" 200 53058
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/img/banner02.jpg HTTP/1.1" 200 61788
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:52 +0900] "GET /MentoringProject/img/master_2.jfif HTTP/1.1" 200 135846
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/main01.jpg HTTP/1.1" 200 1735476
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/main02.jpg HTTP/1.1" 200 1925810
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/main03.jpg HTTP/1.1" 200 1385139
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/main04.jpg HTTP/1.1" 200 1157581
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/main05.jpg HTTP/1.1" 200 268074
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/img/star.jpg HTTP/1.1" 200 115045
0:0:0:0:0:0:0:1 - - [26/May/2021:01:30:53 +0900] "GET /MentoringProject/images/home1.png HTTP/1.1" 404 848
